Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,2703332.000000,2747045.250000,2608204.500000,2672689.500000,2672689.500000,2523664017381
2021-06-02,2673782.250000,2788041.500000,2620345.250000,2741540.000000,2741540.000000,2412898687490
2021-06-03,2743307.750000,2877492.500000,2719461.750000,2863975.000000,2863975.000000,2590204061222
2021-06-04,2866438.250000,2866438.250000,2607390.000000,2689965.500000,2689965.500000,3049898510842
2021-06-05,2688926.750000,2764574.750000,2544583.750000,2592088.000000,2592088.000000,2621799811605
2021-06-06,2591114.750000,2656574.000000,2577544.250000,2614724.000000,2614724.000000,2108077449547
2021-06-07,2612747.250000,2682347.000000,2437713.500000,2443543.250000,2443543.250000,2452515470653
2021-06-08,2445641.000000,2476794.000000,2269226.250000,2442683.750000,2442683.750000,3641629527223
2021-06-09,2438622.250000,2739685.500000,2368351.250000,2725654.000000,2725654.000000,3939242801067
2021-06-10,2728894.000000,2801016.000000,2617132.250000,2679750.500000,2679750.500000,3181597321106
2021-06-11,2679343.750000,2748341.750000,2631713.500000,2734065.250000,2734065.250000,2834051398962
2021-06-12,2734485.750000,2739523.000000,2543207.750000,2603574.750000,2603574.750000,2777259520329
2021-06-13,2603814.500000,2879755.250000,2553161.500000,2863208.750000,2863208.750000,2978274452314
2021-06-14,2857285.000000,2999576.000000,2838893.500000,2943230.500000,2943230.500000,3157682838993
2021-06-15,2958502.750000,3029429.250000,2903789.500000,2963664.750000,2963664.750000,3404762806606
2021-06-16,2946239.250000,2972878.000000,2818321.000000,2830947.250000,2830947.250000,2894773591302
2021-06-17,2830530.750000,2926422.250000,2779027.750000,2825630.250000,2825630.250000,2754581256992
2021-06-18,2829043.750000,2835562.000000,2612640.750000,2653413.000000,2653413.000000,2684082206204
2021-06-19,2658401.750000,2703130.500000,2590080.500000,2640706.500000,2640706.500000,2313835668177
2021-06-20,2636797.000000,2673598.000000,2478791.250000,2646819.500000,2646819.500000,2718423200568
2021-06-21,2642582.000000,2648554.000000,2320134.750000,2348365.750000,2348365.750000,3915021628983
2021-06-22,2344339.000000,2472830.250000,2148089.500000,2416225.250000,2416225.250000,4382964766523
2021-06-23,2416972.750000,2576967.250000,2361737.500000,2503838.250000,2503838.250000,3438912731775
2021-06-24,2500851.500000,2613996.500000,2402443.500000,2571625.250000,2571625.250000,2457440964638
2021-06-25,2571378.000000,2631060.000000,2325729.250000,2347012.250000,2347012.250000,2984483364466
2021-06-26,2343813.750000,2421181.750000,2239202.500000,2387702.000000,2387702.000000,2862412451710
2021-06-27,2395212.750000,2572194.750000,2379206.500000,2571713.500000,2571713.500000,2635691316830
2021-06-28,2573901.250000,2613853.000000,2519085.250000,2557977.000000,2557977.000000,2517728157059
2021-06-29,2561039.250000,2713028.750000,2543440.750000,2664539.750000,2664539.750000,2815617599537
2021-06-30,2667556.500000,2679914.500000,2533659.750000,2606038.000000,2606038.000000,2533019900288
2021-07-01,2605676.750000,2605676.750000,2450978.000000,2503053.250000,2503053.250000,2821178042429
2021-07-02,2501374.250000,2530451.000000,2451099.250000,2524721.500000,2524721.500000,2884613293182
2021-07-03,2521546.500000,2600144.750000,2487901.250000,2582215.750000,2582215.750000,1816189172429
2021-07-04,2581993.500000,2677523.000000,2561951.000000,2628306.000000,2628306.000000,1856413448354
2021-07-05,2628050.250000,2628050.250000,2468193.250000,2507936.750000,2507936.750000,1985893539998
2021-07-06,2509255.000000,2573857.500000,2509988.000000,2569543.000000,2569543.000000,1939387842560
